experiment,auc_macro,accuracy,f1_macro
pretrained_full,0.9231957802794493,0.6721661054994388,0.6331697319163155
pretrained_frozen,0.5365225628280873,0.34062850729517397,0.2710900798027643
scratch_full,0.9566606000895114,0.8245791245791246,0.8176790198948453
